Mammals,,,,,,,
Ficedula albicollis,Collared,15.9,78.6,Pa,TeF,I,92
"",flytcatcher,,,,,,
Phylidonyris,New Holland,17.3,77.6,Pa,TeF,N,161
novaehollandiae,honeyeater,,,,,,
Parus major,Great tit,18.0,97.4,Pa,TeF,O,"109, 151"
"",,,,,,,(Continued )
Erithacus rubecula,Robin,18.7,71.3,Pa,TeF,,I,148
Passerculus,Savannah,18.7,80.4,Pa,SM,,O,"102, 165,"
sandwichensis,sparrow,,,,,,,171
Delichon urbica,House martin,19.0,79.8,Pa,TM,,I,102
Junco phaeonotus,Yellow-eyed,19.5,73.8,Pa,TM,,O,172
"",junco,,,,,,,
Junco hyemalis,Dark-eyed junco,19.6,76.6,Pa,TM,,O,163
Tachycineata,Tree swallow,20.2,209,Pa,TM,,I,118
bicolor,,,,,,,,
Hirundo rustica,Barn swallow,20.4,95.8,Pa,TM,I,,"35, 102,"
"",,,,,,,,158
Prunella modularis,Dunnocky,21.2,86.0,Pa,TeF,,I,22
Phainopepla nitens,Phainopepla,22.7,79.1,Pa,D,,O,102
Cormobates,White-throated,23.7,81.4,Pa,TeF,,I,160
leucophaeus,treecreeper,,,,,,,
Oenanthe oenanthe,Northern,24.3,91.4,Pa,TM,,I,"90, 147"
"",wheatear,,,,,,,
Pyrrhula pyrrhula,Bullfinch,25.1,88.0,Pa,TeF,,G,22
Philetairus socius,Sociable weaver,25.5,48.7,Pa,D,,O,170
Sialia mexicana,Western bluebird,27.4,95.0,Pa,TeF,,I,89
Melopsittacus,Budgerigar,27.9,59.1,Ps,D,,O,172
undulatus,,,,,,,,
Mirafra,Dune lark,28.5,64.3,Pa,D,,O,172
erythrochlamys,,,,,,,,
Merops viridis,Blue-throated,34.3,85.3,Co,TF,,I,"102, 148"
"",bee-eater,,,,,,,
Oceanites oceanus,Wilson’s,42.3,119,Pr,M,,C,102
"",storm-petrel,,,,,,,
Oceanodroma,Leach’s,45.9,118,Pr,M,,C,118
leucorhoa,storm-petrel,,,,,,,
Mimus polyglottos,Mockingbird,47.6,121,Pr,DF,,O,102
Progne subis,Purple martin,49.0,163,Pa,DF,,I,102
Actitis hypoleucos,Common,51.6,146,Ch,M,,C,148
"",sandpiper,,,,,,,
Calidris alba,Sanderling,52.0,141,Ch,M,,C,24
Neophema,Rock parrot,62.8,106,Ps,D,,O,172
petrophila,,,,,,,,
Cinclus cinclus,Dipper,63.7,196,Pa,TM,,I,"18, 118"
Charadrius,Ringed plover,74.8,302,Ch,M,,C,148
hiaticula,,,,,,,,
Ceryle rudis,Pied kingfisher,76.0,210,Co,TF,,C,118
Sturnus vulgaris,Starling,78.7,269,Pa,DF,,O,102
Aethia pusilla,Least auklet,80.3,350,Ch,M,,C,"118, 125"
Melanerpes,Acorn,82.0,195,Pi,OW,O,172
formicivorous,woodpecker,,,,,,
Geophaps plumifera,Spinifex pigeon,87.0,76.0,Cl,D,G,169
Turdus merula,Blackbird,96.0,179,Pa,TeF,I,22
Sterna paradisaea,Arctic tern,101,335,Ch,M,C,152
Arenaria interpres,Ruddy turnstone,108,352,Ch,M,C,131
Pelecanoides,South Georgia,109,464,Pr,M,C,118
georgicus,diving petrel,,,,,,
Sterna hirundo,Common tern,127,343,Ch,M,C,72
Pelecanoides,Common diving,137,557,Pr,M,C,118
urinatrix,petrel,,,,,,
Callipepla gambelii,Gambel’s quail,145,90.8,Ga,D,O,102
Barnardius zonarius,Port Lincoln,145,189,Ps,D,O,172
"",parrot,,,,,,
Pachyptila desolata,Antarctic prion,149,391,Pr,M,C,149
Alle alle,Dovkie,164,696,Ch,M,C,172
Ptychoramphus,Cassin’s auklet,174,413,Ch,M,C,65
aleuticus,,,,,,,
Sterna fuscata,Sooty tern,187,241,Ch,M,C,102
Ammoperdix heyi,Sand partridge,190,148,Ga,D,O,102
Anous stolidus,Brown noddy,195,352,Ch,M,C,102
Falco tinnunculus,Eurasian kestrel,211,341,Fa,TM,C,"67, 84,118"
Cacatua,Galah,307,349,Ps,D,O,172
roseicapilla,,,,,,,
Phaethon lepturus,White-tailed,370,777,Pe,M,C,127
"",tropicbird,,,,,,
Cepphus grylle,Black guillemot,380,860,Ch,M,C,"87, 118"
Puffinus pacificus,Wedge-tailed,384,614,Pr,M,C,102
"",shearwater,,,,,,
Rissa tridactyla,Black-legged,386,795,Pr,M,C,102
"",kittiwake,,,,,,
Alectoris chukar,Chukar,395,260,Ga,D,O,102
Uria lomvia,Thick-billed,834,"1,480",Ch,M,C,118
"",murre,,,,,,
Uria aalga,Guillemot,940,"1,870",Ch,M,C,172
Eudyptula minor,Little penguin,"1,050","1,050",Sp,M,C,"46, 118"
Sula sula,Red-footed,"1,070","1,220",Pe,M,C,7
"",booby,,,,,,
Centrocercus,Sage grouse,"2,500","1,540",Ga,D,G,154
urophasianus,,,,,,,
Morus capensis,Cape gannet,"2,580","3,380",Pe,M,C,172
Diomedea,Laysan albatross,"3,070","1,330",Pr,M,C,130
immutabilis,,,,,,,
Spheniscus,Jackass penguin,"3,170","1,950",Sp,M,C,102
demersus,,,,,,,
"",,,,,,,(Continued )
Sula bassanus,Northern gannet,"3,210","4,870",Pe,M,C,172
Diomedea,Grey-headed,"3,710","2,390",Pr,M,C,118
chrysostoma,albatross,,,,,,
Pygoscelis,Chinstrap,"3,790","5,600",Sp,M,C,94
antarctica,penguin,,,,,,
Macronectes,Giant petrel,"3,890","4,330",Pr,M,C,124
giganteus,,,,,,,
Pygoscelis adeliae,Adelie penguin,"3,990","3,790",Sp,M,C,"25, 36,"
"",,,,,,,119
Eudyptes,Macaroni,"4,270","2,950",Sp,M,C,172
chrysolophus,penguin,,,,,,
Pygoscelis papua,Gentoo penguin,"6,170","4,650",Sp,M,C,"47, 172"
Diomedea exulans,Wandering,"8,420","3,350",Pr,M,C,102
"",albatross,,,,,,
Aptenodytes,King penguin,"12,900","7,410",Sp,M,C,75
patagonicus,,,,,,,
Struthio camelus,Ostrich,"88,300","18,000",St,D,O,172
Reptiles,,,,,,,
Mesalina olivieri,Sand lizard,1.1,0.29,La,SA,I,156
Rhoptropus afer,Namib Desert,2.6,0.23,Ge,D,I,121
"",gecko,,,,,,
Urosaurus,Black-tailed,3.2,1.38,Ph,SC,I,60
nigricaudus,brush lizard,,,,,,
Uta stansburiana,Side-blotched,3.2,0.67,Ph,D,I,"60, 101"
"",lizard,,,,,,
Pedioplanis,Spotted sand,3.3,0.54,La,D,I,111
lineoocellata,lizard,,,,,,
Heliobolus,Bushveld lizard,3.8,0.80,La,D,I,111
lugubris,,,,,,,
Meroles anchietae,Namib Desert,4.0,0.60,La,D,O,137
"",dune lizard,,,,,,
Cnemidophorus,Orangethroat,4.3,1.13,Te,SC,I,"60, 68"
hyperythrus,whiptail,,,,,,
Acanthodactylus,Sand lizard,4.5,0.23,La,SA,I,156
pardalis,,,,,,,
Sceloporus,Sagebrush lizard,5.0,0.82,Ph,SC,I,33
graciosus,,,,,,,
Sceloporus,Striped plateau,6.3,1.06,Ph,SC,I,88
virgatus,lizard,,,,,,
Callisaurus,Zebra-tailed,7.1,1.12,Ph,D,I,69
draconoides,lizard,,,,,,
Podarcis lilfordi,Lacertid lizard,7.4,1.49,La,SC/ME,I,19
Sceloporus,Rosebelly lizard,7.7,1.92,Ph,TR,I,10
variabilis,,,,,,,
Chalcides,Gran Canarian,7.8,0.72,Sc,STR,I,20
sexlineatus,skink,,,,,,
Ptyodactylus,Negev Desert,9.1,1.2,Ge,D,I,108
hasselquistii,gecko,,,,,,
Varanus,Goanna/monitor,10.4,3.0,Va,SA/SC,C,150
caudolineatus,lizard,,,,,,
Galloti altantica,Agamid lizard,11.9,1.5,La,STR,H,155
Sceloporus,Western fence,12.1,1.8,Ph,SC,I,"11, 13"
occidentalis,lizard,,,,,,
Cnemidophorus,Western whiptail,16.5,4.1,Te,D,I,"2, 3"
tigris,,,,,,,
Pachydactylus,Birbon’s gecko,16.6,2.2,Ge,D,I,112
bibronii,,,,,,,
Sceloporus jarrovi,Yarrow’s spiny,16.6,1.9,Ph,SC,I,"10, 83"
"",lizard,,,,,,
Mabuya striata,Stiped skink,19.5,2.9,Sc,D,I,112
Thamnophis sirtalis,Common garter,22.0,5.2,Co,SC,C,129
"",snake,,,,,,
Phrynosoma,Desert horned,23.0,2.7,Ph,D,I,21
platyrhinos,lizard,,,,,,
Elgaria,Southern,25.3,2.0,An,SC,I,70
multicarinatus,alligator lizard,,,,,,
Lacerta viridis,Common lizard,25.5,5.8,La,TE,I,17
Galloti galloti,Agamid lizard,25.6,4.6,La,STR,H,155
Microlophus,Lava lizard,28.2,3.3,Tr,IT,I,99
albemariensis,,,,,,,
Ctenophorus,Central netted,36.8,9.6,Ag,D,I,105
nuchalis,dragon,,,,,,
Galloti stehlini,Giant agamid,47.3,7.9,La,STR,H,155
"",lizard,,,,,,
Dipsosaurus,Desert iguana,52.5,6.5,Ig,D,H,85
dorsalis,,,,,,,
Agama impalearis,Bibron’s agama,54.4,16.8,Ag,D,I,173
Angolosaurus,Skoog’s lizard,57.4,3.0,Gr,D,H,107
skoogi,,,,,,,
Varanus,Ridge-tailed,60.0,3.7,Va,TE,C,41
acanthurus,monitor,,,,,,
Varanus scalaris,Goanna/monitor,66.4,7.8,Va,EW,C,29
"",lizard,,,,,,
Vipera aspis,European viper,67.2,6.3,Vi,TE,C,17
Crotalus lepidus,Mottled rock,109,4.7,Vi,SC,C,9
"",rattlesnakes,,,,,,
Masticophus,Coachwhip,124,11.7,Co,D,C,139
flagellum,,,,,,,
Crotalus cerastes,Sidewinder,129,5.0,Vi,D,C,139
"",,,,,,,(Continued )
Coluber,Racer,132,12.8,Co,W,C,132
constrictor,,,,,,,
Sauromalus obesus,Chuckwalla,167,15.7,Ig,D,H,122
Chlamydosaurus,Frillneck lizard,635,52.4,Ag,W,I,28
kingii,,,,,,,
Iguana iguana,Green iguana,860,60.1,Ig,SA,H,153
Tupinambis,Tegu,"1,170",214,Te,TR,C,57
teguixin,,,,,,,
Varanus,Goanna/monitor,"1,180",100,Va,EW,C,56
rosenbergi,lizard,,,,,,
Varanus mertensi,Merten’s water,"1,210",143,Va,M,C,31
"",monitor,,,,,,
Varanus gouldii,Sand monitor,"1,320",233,Va,TRW,C,30
Varanus panoptes,Goanna/monitor,"1,350",180,Va,TRW/RI,C,30
Amblyrhynchus,Galapagos,"1,610",91.2,Ig,M,H,123
cristatus,marine iguana,,,,,,
Gopherus,Desert tortoise,"2,120",42.9,Ts,D,H,"64, 114,"
agassizzi,,,,,,,128
Varanus,Bengal monitor,"2,560",393,Va,TR,C,40
bengalensis,,,,,,,
Varanus salvator,Goanna/monitor,"7,530",906,Va,SA/TR,C,40
"",lizard,,,,,,
Varanus giganteus,Perenties,"7,700",807,Va,DTR,C,"40, 59"
Varanus,Komodo dragon,"45,200","2,430",Va,TR,C,58
komodensis,,,,,,,
